gene,detection_pct_0041323,detection_pct_0041326,cell_type,cellchat_pathway,full_name,HALLMARK,KEGG,REACTOME
ADRB3,0.023,,,Adrenaline;Noradrenaline,Beta-3 adrenergic receptor (Beta-3 adrenoreceptor) (Beta-3 adrenoceptor),,Calcium signaling pathway;Chemical carcinogenesis;Neuroactive ligand-receptor interaction;Regulation of lipolysis in adipocytes;Renin secretion;Salivary secretion;Thermogenesis;cGMP-PKG signaling pathway,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821;Adrenoceptors R-HSA-390696;Amine Ligand-Binding Receptors R-HSA-375280;Anti-inflammatory Response Favoring Leishmania Infection R-HSA-9662851;Class A/1 (Rhodopsin-like Receptors) R-HSA-373076;Disease R-HSA-1643685;G Alpha (S) Signaling Events R-HSA-418555;GPCR Downstream Signaling R-HSA-388396;GPCR Ligand Binding R-HSA-500792;Infectious Disease R-HSA-5663205;Leishmania Infection R-HSA-9658195;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790
ADTRP,0.108,0.075,,,Androgen-dependent TFPI-regulating protein (Fatty acid esters of hydroxy fatty acids hydrolase ADTRP) (FAHFA hydrolase ADTRP),,,
AFF2,0.195,0.14,,,AF4/FMR2 family member 2 (Protein FMR-2) (FMR2P) (Protein Ox19),,,
AFG1L,1.391,1.358,,,AFG1-like ATPase (Lactation elevated protein 1),,,
AFM,0.221,0.095,,,Afamin (Alpha-albumin) (Alpha-Alb),,,
AGAP3,5.013,6.848,,,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3 (AGAP-3) (CRAM-associated GTPase) (CRAG) (Centaurin-gamma-3) (Cnt-g3) (MR1-interacting protein) (MRIP-1)",,Endocytosis,
AGMAT,0.673,0.178,,,"Guanidino acid hydrolase, mitochondrial",,Arginine and proline metabolism,Metabolism R-HSA-1430728;Metabolism Of Amino Acids And Derivatives R-HSA-71291;Metabolism Of Polyamines R-HSA-351202
AGO1,4.66,4.546,,,Protein argonaute-1 (Argonaute1) (hAgo1) (Argonaute RISC catalytic component 1) (Eukaryotic translation initiation factor 2C 1) (eIF-2C 1) (eIF2C 1) (Putative RNA-binding protein Q99),,,Beta-catenin Independent WNT Signaling R-HSA-3858494;Ca2+ Pathway R-HSA-4086398;Cellular Senescence R-HSA-2559583;Cellular Responses To Stimuli R-HSA-8953897;Cellular Responses To Stress R-HSA-2262752;Competing Endogenous RNAs (ceRNAs) Regulate PTEN Translation R-HSA-8948700;ESR-mediated Signaling R-HSA-8939211;Estrogen-dependent Gene Expression R-HSA-9018519;Gene Silencing By RNA R-HSA-211000;Gene Expression (Transcription) R-HSA-74160;Generic Transcription Pathway R-HSA-212436;Intracellular Signaling By Second Messengers R-HSA-9006925;MAPK Family Signaling Cascades R-HSA-5683057;MAPK6/MAPK4 Signaling R-HSA-5687128;MicroRNA (miRNA) Biogenesis R-HSA-203927;NR1H2 And NR1H3-mediated Signaling R-HSA-9024446;NR1H3 And NR1H2 Regulate Gene Expression Linked To Cholesterol Transport And Efflux R-HSA-9029569;Oncogene Induced Senescence R-HSA-2559585;Oxidative Stress Induced Senescence R-HSA-2559580;PIP3 Activates AKT Signaling R-HSA-1257604;PTEN Regulation R-HSA-6807070;Post-transcriptional Silencing By Small RNAs R-HSA-426496;Pre-NOTCH Expression And Processing R-HSA-1912422;Pre-NOTCH Transcription And Translation R-HSA-1912408;RNA Polymerase II Transcription R-HSA-73857;RUNX1 Regulates Genes Involved In Megakaryocyte Differentiation And Platelet Function R-HSA-8936459;Regulation Of MECP2 Expression And Activity R-HSA-9022692;Regulation Of PTEN mRNA Translation R-HSA-8943723;Regulation Of RUNX1 Expression And Activity R-HSA-8934593;Signal Transduction R-HSA-162582;Signaling By NOTCH R-HSA-157118;Signaling By Nuclear Receptors R-HSA-9006931;Signaling By WNT R-HSA-195721;Small Interfering RNA (siRNA) Biogenesis R-HSA-426486;TP53 Regulates Metabolic Genes R-HSA-5628897;Transcriptional Regulation By MECP2 R-HSA-8986944;Transcriptional Regulation By TP53 R-HSA-3700989;Transcriptional Regulation By VENTX R-HSA-8853884;Transcriptional Regulation By RUNX1 R-HSA-8878171;Transcriptional Regulation By Small RNAs R-HSA-5578749
AGRP,0.066,0.045,,,Agouti-related protein,,Adipocytokine signaling pathway,"FOXO-mediated Transcription R-HSA-9614085;FOXO-mediated Transcription Of Oxidative Stress, Metabolic And Neuronal Genes R-HSA-9615017;Gene Expression (Transcription) R-HSA-74160;Generic Transcription Pathway R-HSA-212436;RNA Polymerase II Transcription R-HSA-73857"
AGTR1,0.529,0.703,,,Type-1 angiotensin II receptor (AT1AR) (AT1BR) (Angiotensin II type-1 receptor) (AT1 receptor),,AGE-RAGE signaling pathway in diabetic complications;Adrenergic signaling in cardiomyocytes;Aldosterone synthesis and secretion;Apelin signaling pathway;Calcium signaling pathway;Coronavirus disease;Cortisol synthesis and secretion;Cushing syndrome;Diabetic cardiomyopathy;Neuroactive ligand-receptor interaction;Pathways in cancer;Phospholipase D signaling pathway;Renin secretion;Renin-angiotensin system;Vascular smooth muscle contraction;cGMP-PKG signaling pathway,Cargo Recognition For Clathrin-Mediated Endocytosis R-HSA-8856825;Class A/1 (Rhodopsin-like Receptors) R-HSA-373076;Clathrin-mediated Endocytosis R-HSA-8856828;G Alpha (Q) Signaling Events R-HSA-416476;GPCR Downstream Signaling R-HSA-388396;GPCR Ligand Binding R-HSA-500792;Membrane Trafficking R-HSA-199991;Peptide Ligand-Binding Receptors R-HSA-375276;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790;Vesicle-mediated Transport R-HSA-5653656
AGTR2,0.104,0.023,,AGT,Type-2 angiotensin II receptor (Angiotensin II type-2 receptor) (AT2 receptor),,Adrenergic signaling in cardiomyocytes;Neuroactive ligand-receptor interaction;Renin-angiotensin system,Class A/1 (Rhodopsin-like Receptors) R-HSA-373076;G Alpha (I) Signaling Events R-HSA-418594;GPCR Downstream Signaling R-HSA-388396;GPCR Ligand Binding R-HSA-500792;Peptide Ligand-Binding Receptors R-HSA-375276;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790
AHRR,0.071,0.049,type I pneumocyte,,Aryl hydrocarbon receptor repressor (AhR repressor) (AhRR) (Class E basic helix-loop-helix protein 77) (bHLHe77),,,Aryl Hydrocarbon Receptor Signaling R-HSA-8937144;Biological Oxidations R-HSA-211859;Cytochrome P450 - Arranged By Substrate Type R-HSA-211897;Endogenous Sterols R-HSA-211976;Metabolism R-HSA-1430728;Metabolism Of Lipids R-HSA-556833;PPARA Activates Gene Expression R-HSA-1989781;Phase I - Functionalization Of Compounds R-HSA-211945;Regulation Of Lipid Metabolism By PPARalpha R-HSA-400206;Xenobiotics R-HSA-211981
AIFM1,6.156,5.964,,,"Apoptosis-inducing factor 1, mitochondrial",Adipogenesis;Oxidative Phosphorylation,Apoptosis;Necroptosis,
AIMP2,3.185,3.022,,,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 (Multisynthase complex auxiliary component p38) (Protein JTV-1),Myc Targets V1;Myc Targets V2,,Cytosolic tRNA Aminoacylation R-HSA-379716;Metabolism R-HSA-1430728;Metabolism Of Amino Acids And Derivatives R-HSA-71291;Metabolism Of Proteins R-HSA-392499;Selenoamino Acid Metabolism R-HSA-2408522;Translation R-HSA-72766;tRNA Aminoacylation R-HSA-379724
AJAP1,0.724,0.482,,,Adherens junction-associated protein 1 (Membrane protein shrew-1),,,
AKAP11,7.687,6.672,,,A-kinase anchor protein 11 (AKAP-11) (A-kinase anchor protein 220 kDa) (AKAP 220) (hAKAP220) (Protein kinase A-anchoring protein 11) (PRKA11),,,
AKAP8,6.527,6.549,,,A-kinase anchor protein 8 (AKAP-8) (A-kinase anchor protein 95 kDa) (AKAP 95),,,
AKT1,21.471,16.765,,,RAC-alpha serine/threonine-protein kinase,Androgen Response;PI3K/AKT/mTOR  Signaling;Allograft Rejection,"AGE-RAGE signaling pathway in diabetic complications;AMPK signaling pathway;Acute myeloid leukemia;Adipocytokine signaling pathway;Adrenergic signaling in cardiomyocytes;Alzheimer disease;Apelin signaling pathway;Apoptosis;Autophagy;B cell receptor signaling pathway;Breast cancer;C-type lectin receptor signaling pathway;Carbohydrate digestion and absorption;Cellular senescence;Central carbon metabolism in cancer;Chagas disease;Chemical carcinogenesis;Chemokine signaling pathway;Choline metabolism in cancer;Cholinergic synapse;Chronic myeloid leukemia;Colorectal cancer;Diabetic cardiomyopathy;Dopaminergic synapse;Endometrial cancer;Epstein-Barr virus infection;ErbB signaling pathway;Estrogen signaling pathway;Fc epsilon RI signaling pathway;Fc gamma R-mediated phagocytosis;Fluid shear stress and atherosclerosis;Focal adhesion;FoxO signaling pathway;Gastric cancer;Glioma;Glucagon signaling pathway;GnRH secretion;Growth hormone synthesis, secretion and action;HIF-1 signaling pathway;Hepatitis B;Hepatitis C;Hepatocellular carcinoma;Herpes simplex virus 1 infection;Human T-cell leukemia virus 1 infection;Human cytomegalovirus infection;Human immunodeficiency virus 1 infection;Human papillomavirus infection;Influenza A;Insulin resistance;Insulin signaling pathway;JAK-STAT signaling pathway;Kaposi sarcoma-associated herpesvirus infection;Lipid and atherosclerosis;Longevity regulating pathway;MAPK signaling pathway;Measles;Melanoma;Neurotrophin signaling pathway;Neutrophil extracellular trap formation;Non-alcoholic fatty liver disease;Non-small cell lung cancer;Osteoclast differentiation;PD-L1 expression and PD-1 checkpoint pathway in cancer;PI3K-Akt signaling pathway;Pancreatic cancer;Pathways in cancer;Phospholipase D signaling pathway;Platelet activation;Progesterone-mediated oocyte maturation;Prolactin signaling pathway;Prostate cancer;Proteoglycans in cancer;Rap1 signaling pathway;Ras signaling pathway;Regulation of lipolysis in adipocytes;Relaxin signaling pathway;Renal cell carcinoma;Salmonella infection;Shigellosis;Signaling pathways regulating pluripotency of stem cells;Small cell lung cancer;Sphingolipid signaling pathway;Spinocerebellar ataxia;T cell receptor signaling pathway;TNF signaling pathway;Thyroid hormone signaling pathway;Toll-like receptor signaling pathway;Toxoplasmosis;Tuberculosis;VEGF signaling pathway;Yersinia infection;cAMP signaling pathway;cGMP-PKG signaling pathway;mTOR signaling pathway","AKT Phosphorylates Targets In Cytosol R-HSA-198323;AKT Phosphorylates Targets In Nucleus R-HSA-198693;Activation Of BAD And Translocation To Mitochondria R-HSA-111447;Activation Of BH3-only Proteins R-HSA-114452;Adaptive Immune System R-HSA-1280218;Apoptosis R-HSA-109581;Butyrate Response Factor 1 Binds And Destabilizes mRNA R-HSA-450385;CD28 Co-Stimulation R-HSA-389356;CD28 Dependent PI3K/Akt Signaling R-HSA-389357;CTLA4 Inhibitory Signaling R-HSA-389513;Cell Cycle R-HSA-1640170;Cell Cycle, Mitotic R-HSA-69278;Cellular Response To Chemical Stress R-HSA-9711123;Cellular Responses To Stimuli R-HSA-8953897;Cellular Responses To Stress R-HSA-2262752;Constitutive Signaling By AKT1 E17K In Cancer R-HSA-5674400;Costimulation By CD28 Family R-HSA-388841;Cyclin A:Cdk2-associated Events At S Phase Entry R-HSA-69656;Cyclin E Associated Events During G1/S Transition R-HSA-69202;Cytokine Signaling In Immune System R-HSA-1280215;Deactivation Of Beta-Catenin Transactivating Complex R-HSA-3769402;Developmental Biology R-HSA-1266738;Disease R-HSA-1643685;Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202;Downregulation Of ERBB2 Signaling R-HSA-8863795;Downregulation Of ERBB2:ERBB3 Signaling R-HSA-1358803;ESR-mediated Signaling R-HSA-8939211;Estrogen-dependent Nuclear Events Downstream Of ESR-membrane Signaling R-HSA-9634638;Extra-nuclear Estrogen Signaling R-HSA-9009391;FLT3 Signaling R-HSA-9607240;FOXO-mediated Transcription R-HSA-9614085;G Beta:Gamma Signaling Thru PI3Kgamma R-HSA-392451;G-protein Beta:Gamma Signaling R-HSA-397795;G1/S Transition R-HSA-69206;GPCR Downstream Signaling R-HSA-388396;Gene Expression (Transcription) R-HSA-74160;Generic Transcription Pathway R-HSA-212436;Hemostasis R-HSA-109582;Immune System R-HSA-168256;Infectious Disease R-HSA-5663205;Integrin Signaling R-HSA-354192;Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807;Intracellular Signaling By Second Messengers R-HSA-9006925;Intrinsic Pathway For Apoptosis R-HSA-109606;KEAP1-NFE2L2 Pathway R-HSA-9755511;KSRP (KHSRP) Binds And Destabilizes mRNA R-HSA-450604;MTOR Signaling R-HSA-165159;Membrane Trafficking R-HSA-199991;Metabolism R-HSA-1430728;Metabolism Of RNA R-HSA-8953854;Metabolism Of Cofactors R-HSA-8978934;Metabolism Of Nitric Oxide: NOS3 Activation And Regulation R-HSA-202131;Metabolism Of Vitamins And Cofactors R-HSA-196854;Mitotic G1 Phase And G1/S Transition R-HSA-453279;Negative Regulation Of NOTCH4 Signaling R-HSA-9604323;Negative Regulation Of PI3K/AKT Network R-HSA-199418;PI3K/AKT Signaling In Cancer R-HSA-2219528;PI5P, PP2A And IER3 Regulate PI3K/AKT Signaling R-HSA-6811558;PIP3 Activates AKT Signaling R-HSA-1257604;PTEN Regulation R-HSA-6807070;PTK6 Regulates RTKs And Their Effectors AKT1 And DOK1 R-HSA-8849469;Platelet Aggregation (Plug Formation) R-HSA-76009;Platelet Activation, Signaling And Aggregation R-HSA-76002;Programmed Cell Death R-HSA-5357801;RAB GEFs Exchange GTP For GDP On RABs R-HSA-8876198;RNA Polymerase II Transcription R-HSA-73857;RUNX2 Regulates Genes Involved In Cell Migration R-HSA-8941332;Rab Regulation Of Trafficking R-HSA-9007101;Regulation Of PTEN Stability And Activity R-HSA-8948751;Regulation Of TP53 Activity R-HSA-5633007;Regulation Of TP53 Activity Thru Acetylation R-HSA-6804758;Regulation Of TP53 Activity Thru Association With Co-factors R-HSA-6804759;Regulation Of TP53 Degradation R-HSA-6804757;Regulation Of TP53 Expression And Degradation R-HSA-6806003;Regulation Of Beta-Cell Development R-HSA-186712;Regulation Of Gene Expression In Beta Cells R-HSA-210745;Regulation Of Localization Of FOXO Transcription Factors R-HSA-9614399;Regulation Of mRNA Stability By Proteins That Bind AU-rich Elements R-HSA-450531;S Phase R-HSA-69242;SARS-CoV Infections R-HSA-9679506;SARS-CoV-2 Infection R-HSA-9694516;SARS-CoV-2 Targets Host Intracellular Signaling And Regulatory Pathways R-HSA-9755779;SARS-CoV-2-host Interactions R-HSA-9705683;Signal Transduction R-HSA-162582;Signaling By ERBB2 R-HSA-1227986;Signaling By GPCR R-HSA-372790;Signaling By Interleukins R-HSA-449147;Signaling By NOTCH R-HSA-157118;Signaling By NOTCH4 R-HSA-9013694;Signaling By Non-Receptor Tyrosine Kinases R-HSA-9006927;Signaling By Nuclear Receptors R-HSA-9006931;Signaling By Receptor Tyrosine Kinases R-HSA-9006934;Signaling By VEGF R-HSA-194138;Signaling By WNT R-HSA-195721;TCF Dependent Signaling In Response To WNT R-HSA-201681;TP53 Regulates Metabolic Genes R-HSA-5628897;Tetrahydrobiopterin (BH4) Synthesis, Recycling, Salvage And Regulation R-HSA-1474151;Transcriptional Regulation By TP53 R-HSA-3700989;Transcriptional Regulation By RUNX2 R-HSA-8878166;Translocation Of SLC2A4 (GLUT4) To Plasma Membrane R-HSA-1445148;VEGFA-VEGFR2 Pathway R-HSA-4420097;VEGFR2 Mediated Vascular Permeability R-HSA-5218920;Vesicle-mediated Transport R-HSA-5653656;eNOS Activation R-HSA-203615"
AKT2,14.34,16.101,,,RAC-beta serine/threonine-protein kinase,Myogenesis;Apical Junction;KRAS Signaling Up,"AGE-RAGE signaling pathway in diabetic complications;AMPK signaling pathway;Acute myeloid leukemia;Adipocytokine signaling pathway;Adrenergic signaling in cardiomyocytes;Alzheimer disease;Apelin signaling pathway;Apoptosis;Autophagy;B cell receptor signaling pathway;Breast cancer;C-type lectin receptor signaling pathway;Carbohydrate digestion and absorption;Cellular senescence;Central carbon metabolism in cancer;Chagas disease;Chemical carcinogenesis;Chemokine signaling pathway;Choline metabolism in cancer;Cholinergic synapse;Chronic myeloid leukemia;Colorectal cancer;Diabetic cardiomyopathy;Dopaminergic synapse;Endometrial cancer;Epstein-Barr virus infection;ErbB signaling pathway;Estrogen signaling pathway;Fc epsilon RI signaling pathway;Fc gamma R-mediated phagocytosis;Fluid shear stress and atherosclerosis;Focal adhesion;FoxO signaling pathway;Gastric cancer;Glioma;Glucagon signaling pathway;GnRH secretion;Growth hormone synthesis, secretion and action;HIF-1 signaling pathway;Hepatitis B;Hepatitis C;Hepatocellular carcinoma;Herpes simplex virus 1 infection;Human T-cell leukemia virus 1 infection;Human cytomegalovirus infection;Human immunodeficiency virus 1 infection;Human papillomavirus infection;Influenza A;Insulin resistance;Insulin signaling pathway;JAK-STAT signaling pathway;Kaposi sarcoma-associated herpesvirus infection;Lipid and atherosclerosis;Longevity regulating pathway;MAPK signaling pathway;Measles;Melanoma;Neurotrophin signaling pathway;Neutrophil extracellular trap formation;Non-alcoholic fatty liver disease;Non-small cell lung cancer;Osteoclast differentiation;PD-L1 expression and PD-1 checkpoint pathway in cancer;PI3K-Akt signaling pathway;Pancreatic cancer;Pathways in cancer;Phospholipase D signaling pathway;Platelet activation;Progesterone-mediated oocyte maturation;Prolactin signaling pathway;Prostate cancer;Proteoglycans in cancer;Rap1 signaling pathway;Ras signaling pathway;Regulation of lipolysis in adipocytes;Relaxin signaling pathway;Renal cell carcinoma;Salmonella infection;Shigellosis;Signaling pathways regulating pluripotency of stem cells;Small cell lung cancer;Sphingolipid signaling pathway;Spinocerebellar ataxia;T cell receptor signaling pathway;TNF signaling pathway;Thyroid hormone signaling pathway;Toll-like receptor signaling pathway;Toxoplasmosis;Tuberculosis;VEGF signaling pathway;Yersinia infection;cAMP signaling pathway;cGMP-PKG signaling pathway;mTOR signaling pathway","AKT Phosphorylates Targets In Cytosol R-HSA-198323;AKT Phosphorylates Targets In Nucleus R-HSA-198693;Activation Of BAD And Translocation To Mitochondria R-HSA-111447;Activation Of BH3-only Proteins R-HSA-114452;Adaptive Immune System R-HSA-1280218;Apoptosis R-HSA-109581;CD28 Co-Stimulation R-HSA-389356;CD28 Dependent PI3K/Akt Signaling R-HSA-389357;CTLA4 Inhibitory Signaling R-HSA-389513;Cell Cycle R-HSA-1640170;Cell Cycle, Mitotic R-HSA-69278;Cellular Response To Chemical Stress R-HSA-9711123;Cellular Responses To Stimuli R-HSA-8953897;Cellular Responses To Stress R-HSA-2262752;Constitutive Signaling By AKT1 E17K In Cancer R-HSA-5674400;Costimulation By CD28 Family R-HSA-388841;Cyclin A:Cdk2-associated Events At S Phase Entry R-HSA-69656;Cyclin E Associated Events During G1/S Transition R-HSA-69202;Cytokine Signaling In Immune System R-HSA-1280215;Deactivation Of Beta-Catenin Transactivating Complex R-HSA-3769402;Developmental Biology R-HSA-1266738;Disease R-HSA-1643685;Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202;Downregulation Of ERBB2 Signaling R-HSA-8863795;Downregulation Of ERBB2:ERBB3 Signaling R-HSA-1358803;ESR-mediated Signaling R-HSA-8939211;Estrogen-dependent Nuclear Events Downstream Of ESR-membrane Signaling R-HSA-9634638;Extra-nuclear Estrogen Signaling R-HSA-9009391;FLT3 Signaling R-HSA-9607240;FOXO-mediated Transcription R-HSA-9614085;G Beta:Gamma Signaling Thru PI3Kgamma R-HSA-392451;G-protein Beta:Gamma Signaling R-HSA-397795;G1/S Transition R-HSA-69206;GPCR Downstream Signaling R-HSA-388396;Gene Expression (Transcription) R-HSA-74160;Generic Transcription Pathway R-HSA-212436;IGF1R Signaling Cascade R-HSA-2428924;IRS-mediated Signaling R-HSA-112399;IRS-related Events Triggered By IGF1R R-HSA-2428928;Immune System R-HSA-168256;Infectious Disease R-HSA-5663205;Insulin Receptor Signaling Cascade R-HSA-74751;Intracellular Signaling By Second Messengers R-HSA-9006925;Intrinsic Pathway For Apoptosis R-HSA-109606;KEAP1-NFE2L2 Pathway R-HSA-9755511;MTOR Signaling R-HSA-165159;Membrane Trafficking R-HSA-199991;Mitotic G1 Phase And G1/S Transition R-HSA-453279;Negative Regulation Of PI3K/AKT Network R-HSA-199418;PI3K Cascade R-HSA-109704;PI3K/AKT Signaling In Cancer R-HSA-2219528;PIP3 Activates AKT Signaling R-HSA-1257604;PTEN Regulation R-HSA-6807070;Programmed Cell Death R-HSA-5357801;RAB GEFs Exchange GTP For GDP On RABs R-HSA-8876198;RNA Polymerase II Transcription R-HSA-73857;RUNX2 Regulates Genes Involved In Cell Migration R-HSA-8941332;Rab Regulation Of Trafficking R-HSA-9007101;Regulation Of PTEN Stability And Activity R-HSA-8948751;Regulation Of TP53 Activity R-HSA-5633007;Regulation Of TP53 Activity Thru Acetylation R-HSA-6804758;Regulation Of TP53 Activity Thru Association With Co-factors R-HSA-6804759;Regulation Of TP53 Degradation R-HSA-6804757;Regulation Of TP53 Expression And Degradation R-HSA-6806003;Regulation Of Beta-Cell Development R-HSA-186712;Regulation Of Gene Expression In Beta Cells R-HSA-210745;Regulation Of Localization Of FOXO Transcription Factors R-HSA-9614399;S Phase R-HSA-69242;SARS-CoV Infections R-HSA-9679506;SARS-CoV-2 Infection R-HSA-9694516;SARS-CoV-2 Targets Host Intracellular Signaling And Regulatory Pathways R-HSA-9755779;SARS-CoV-2-host Interactions R-HSA-9705683;Signal Transduction R-HSA-162582;Signaling By ERBB2 R-HSA-1227986;Signaling By GPCR R-HSA-372790;Signaling By Insulin Receptor R-HSA-74752;Signaling By Nuclear Receptors R-HSA-9006931;Signaling By Receptor Tyrosine Kinases R-HSA-9006934;Signaling By Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R) R-HSA-2404192;Signaling By VEGF R-HSA-194138;Signaling By WNT R-HSA-195721;TCF Dependent Signaling In Response To WNT R-HSA-201681;TP53 Regulates Metabolic Genes R-HSA-5628897;Transcriptional Regulation By TP53 R-HSA-3700989;Transcriptional Regulation By RUNX2 R-HSA-8878166;Translocation Of SLC2A4 (GLUT4) To Plasma Membrane R-HSA-1445148;VEGFA-VEGFR2 Pathway R-HSA-4420097;VEGFR2 Mediated Vascular Permeability R-HSA-5218920;Vesicle-mediated Transport R-HSA-5653656"
