subpanel,gene,5K_cell_type,5K_pathway,exclude_recommended,detection_pct_0041323,detection_pct_0041326
03_immune_T_cell,CD3G,"hematopoietic cell;leukocyte;mononuclear cell;lymphocyte;T cell;alpha-beta T cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;mature alpha-beta T cell;CD4-positive, alpha-beta T cell;T-helper 2 cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;memory regulatory T cell;activated CD4-positive, alpha-beta T cell, human;CD4-positive, alpha-beta cytotoxic T cell;effector CD4-positive, alpha-beta T cell;CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta cytotoxic T cell;activated CD8-positive, alpha-beta T cell, human;CD8-positive, alpha-beta memory T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;CD8-positive, alpha-beta memory T cell, CD45RO-positive;effector memory CD8-positive, alpha-beta T cell;effector CD8-positive, alpha-beta T cell;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;mature NK T cell;mucosal invariant T cell;gamma-delta T cell;mature gamma-delta T cell;mature T cell;intraepithelial lymphocyte;immature T cell;thymocyte;double negative thymocyte;DN3 thymocyte;double negative T regulatory cell;DN1 thymic pro-T cell",,no,0.145,0.148
03_immune_T_cell,CD46,intrahepatic cholangiocyte;urothelial cell;bladder urothelial cell;intestinal tuft cell;tuft cell of colon;salivary gland cell;serous cell of epithelium of trachea;bladder cell,CD46,no,25.675,26.197
03_immune_T_cell,CD5,"mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;CD4-positive, alpha-beta T cell;CD4-positive helper T cell;T-helper 22 cell;T follicular helper cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;naive thymus-derived CD4-positive, alpha-beta T cell;activated CD4-positive, alpha-beta T cell;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;central memory CD4-positive, alpha-beta T cell;effector memory CD4-positive, alpha-beta T cell;CD4-positive, alpha-beta cytotoxic T cell;effector CD4-positive, alpha-beta T cell;CD8-positive, alpha-beta T cell;CD8-alpha-beta-positive, alpha-beta intraepithelial T cell;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;CD8-alpha alpha positive, gamma-delta intraepithelial T cell;mature T cell;memory T cell;regulatory T cell;DN4 thymocyte;double negative T regulatory cell",,no,0.15,0.165
03_immune_T_cell,CD55,epithelial cell of lacrimal sac;type I pneumocyte;respiratory goblet cell;tracheal goblet cell;paneth cell of epithelium of small intestine;urothelial cell;bladder urothelial cell;conjunctival epithelial cell;neutrophil;serous cell of epithelium of trachea;bladder cell,ADGRE,no,3.817,3.838
03_immune_T_cell,CD6,"leukocyte;mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;CD4-positive, alpha-beta T cell;CD4-positive helper T cell;T-helper 1 cell;T-helper 22 cell;T follicular helper cell;naive thymus-derived CD4-positive, alpha-beta T cell;activated CD4-positive, alpha-beta T cell;activated CD4-positive, alpha-beta T cell, human;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;central memory CD4-positive, alpha-beta T cell;effector memory CD4-positive, alpha-beta T cell;CD4-positive, alpha-beta cytotoxic T cell;effector CD4-positive, alpha-beta T cell;CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta cytotoxic T cell;naive thymus-derived CD8-positive, alpha-beta T cell;mucosal invariant T cell;mature T cell;memory T cell;naive T cell;DN4 thymocyte",CD6,no,0.225,0.232
03_immune_T_cell,CD7,"hematopoietic cell;leukocyte;mononuclear cell;lymphocyte;T cell;naive thymus-derived CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;CD8-alpha-beta-positive, alpha-beta intraepithelial T cell;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;gamma-delta T cell;CD8-alpha alpha positive, gamma-delta intraepithelial T cell;exhausted T cell;intraepithelial lymphocyte;immature T cell;thymocyte;double negative thymocyte;innate lymphoid cell;natural killer cell;immature natural killer cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;decidual natural killer cell, human;ILC1, human;group 2 innate lymphoid cell;group 2 innate lymphoid cell, human;group 3 innate lymphoid cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;lymphoid lineage restricted progenitor cell;pro-T cell;early T lineage precursor",,no,0.109,0.249
03_immune_T_cell,CD70,medullary thymic epithelial cell;CD4-positive helper T cell;T-helper 17 cell;regulatory T cell;exhausted T cell,CD70,no,0.108,0.056
03_immune_T_cell,CD82,"hematopoietic stem cell;CD34-positive, CD38-negative hematopoietic stem cell;follicular dendritic cell;eosinophil;erythroid progenitor cell, mammalian;basophil mast progenitor cell;pro-T cell;early T lineage precursor",,no,5.534,6.383
03_immune_T_cell,CD96,"taste receptor cell;T cell;T-helper 1 cell;CD8-alpha-beta-positive, alpha-beta intraepithelial T cell;mature NK T cell;exhausted T cell;intraepithelial lymphocyte;decidual natural killer cell, human;group 3 innate lymphoid cell;epicardial adipocyte;adipocyte of epicardial fat of left ventricle",CD96,no,0.18,0.31
03_immune_T_cell,CD99,"Sertoli cell;pancreatic endocrine cell;type B pancreatic cell;pancreatic A cell;enteroendocrine cell;endosteal cell;preosteoblast;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;immature T cell;thymocyte;double negative thymocyte;late pro-B cell;early lymphoid progenitor;lymphoid lineage restricted progenitor cell;pro-T cell;common lymphoid progenitor",CD99,no,27.52,28.886
03_immune_T_cell,CDC14A,"kidney glomerular epithelial cell;podocyte;activated CD4-positive, alpha-beta T cell, human",,no,1.375,1.692
03_immune_T_cell,CDC42,mast cell;mucosal type mast cell;peripheral blood mononuclear cell,,no,17.037,15.31
03_immune_T_cell,CDH11,endocardial cell;preosteoblast;connective tissue cell;fibroblast;pulmonary interstitial fibroblast;alveolar type 2 fibroblast cell;fibroblast of lung;bronchus fibroblast of lung;kidney interstitial fibroblast;mesangial cell;kidney interstitial cell,ANGPTL,no,1.414,1.718
03_immune_T_cell,CDH16,epithelial cell;duct epithelial cell;kidney collecting duct epithelial cell;kidney collecting duct principal cell;kidney collecting duct intercalated cell;columnar/cuboidal epithelial cell;renal principal cell;renal intercalated cell;kidney distal convoluted tubule epithelial cell;kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney loop of Henle thin ascending limb epithelial cell;kidney epithelial cell;kidney cortex tubule cell;kidney connecting tubule epithelial cell;epithelial cell of nephron;kidney loop of Henle epithelial cell;kidney cell;kidney collecting duct cell,,no,0.02,
03_immune_T_cell,CDH6,glioblast;Schwann cell precursor;neural crest cell;epithelial cell of proximal tubule;parietal epithelial cell;ciliary muscle cell,,no,0.876,0.578
03_immune_T_cell,CDKN3,DN4 thymocyte;erythroid lineage cell;enucleated reticulocyte,,no,0.372,0.252
03_immune_T_cell,CELSR1,lung goblet cell,,no,0.312,0.5
03_immune_T_cell,CEP55,DN4 thymocyte,,no,0.374,0.197
03_immune_T_cell,CFB,duct epithelial cell;luminal epithelial cell of mammary gland;mesothelial cell of pleura;goblet cell;respiratory goblet cell;tracheal goblet cell;mammary gland epithelial cell;mesothelial fibroblast;serous cell of epithelium of trachea,,no,13.0,12.427
03_immune_T_cell,CFTR,intestinal crypt stem cell of colon;pancreatic ductal cell;cholangiocyte;columnar/cuboidal epithelial cell;pulmonary ionocyte;lung goblet cell;bronchial goblet cell;paneth cell of epithelium of small intestine;duodenum glandular cell;periportal region hepatocyte;M cell of gut;ionocyte,,no,29.856,32.182
03_immune_T_cell,CGB3,syncytiotrophoblast cell,,no,0.162,0.149
03_immune_T_cell,CHODL,trophoblast giant cell,,no,0.08,0.033
03_immune_T_cell,CHRNA3,neuroendocrine cell;chromaffin cell;immature alpha-beta T cell;enteric neuron;visceromotor neuron;peripheral nervous system neuron;sympathetic neuron,SLURP,no,0.036,0.023
03_immune_T_cell,CIDEC,enterocyte of epithelium proper of ileum;subcutaneous fat cell,,no,0.176,0.118
03_immune_T_cell,CLIC3,"stratified epithelial cell;epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte;extravillous trophoblast;placental villous trophoblast;syncytiotrophoblast cell;plasmacytoid dendritic cell;plasmacytoid dendritic cell, human;dendritic cell, human;CD8-positive, alpha-beta cytokine secreting effector T cell;mature NK T cell;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;ILC1, human",,no,0.056,0.072
03_immune_T_cell,CLIC4,smooth muscle cell of sphincter of pupil;myometrial cell;trophoblast giant cell;Schwann cell;mesothelial fibroblast,,no,15.127,14.235
03_immune_T_cell,CLN3,placental villous trophoblast;syncytiotrophoblast cell,,no,0.875,1.244
03_immune_T_cell,CLNK,kidney collecting duct epithelial cell;kidney collecting duct intercalated cell;renal intercalated cell;renal beta-intercalated cell;renal alpha-intercalated cell;pulmonary ionocyte;ionocyte;kidney collecting duct cell,,no,0.049,0.04
03_immune_T_cell,CMA1,basophil;mast cell;mucosal type mast cell,,no,0.041,0.027
03_immune_T_cell,CNP,glioblast;Schwann cell precursor;neural crest cell;neuron associated cell;glial cell;macroglial cell;oligodendrocyte,,no,9.137,7.449
03_immune_T_cell,COBLL1,kidney collecting duct epithelial cell;kidney collecting duct principal cell;renal principal cell;kidney distal convoluted tubule epithelial cell;kidney epithelial cell;kidney connecting tubule epithelial cell;epithelial cell of nephron;kidney loop of Henle epithelial cell;kidney loop of Henle thin descending limb epithelial cell;trophoblast giant cell;neuron;kidney cell;kidney collecting duct cell,,no,15.737,14.277
03_immune_T_cell,COL4A1,mesenchymal stem cell;endothelial tip cell;retinal blood vessel endothelial cell;endothelial cell;gut endothelial cell;endothelial cell of vascular tree;skeletal muscle fibroblast;extravillous trophoblast;pancreatic stellate cell;fat cell;brown fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle;mural cell,COLLAGEN;ADGRG,no,16.921,10.786
03_immune_T_cell,COL4A2,mesenchymal stem cell;lens epithelial cell;anterior lens cell;endothelial tip cell;smooth muscle myoblast;brown preadipocyte;pancreatic stellate cell;fat cell;brown fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,COLLAGEN;ADGRG,no,10.108,7.19
03_immune_T_cell,COL5A1,endosteal cell;preosteoblast;connective tissue cell;fibroblast;pulmonary interstitial fibroblast;alveolar type 2 fibroblast cell;brown preadipocyte;pancreatic stellate cell;fibroblast of cardiac tissue;fibroblast of lung;bronchus fibroblast of lung;mesothelial fibroblast;osteoblast;stromal cell;stromal cell of ovary;interstitial cell of ovary;mesenchymal cell,,no,6.941,4.792
03_immune_T_cell,COL5A2,corneal endothelial cell;endosteal cell;preosteoblast;muscle cell;smooth muscle cell;connective tissue cell;fibroblast;alveolar type 2 fibroblast cell;preadipocyte;brown preadipocyte;fibroblast of cardiac tissue;fibroblast of lung;mesothelial fibroblast;osteoblast;mesenchymal cell;fibro/adipogenic progenitor cell,,no,3.242,2.494
03_immune_T_cell,CORO1B,"enteroendocrine cell of small intestine;T-helper 17 cell;activated CD4-positive, alpha-beta T cell;DN4 thymocyte",,no,4.351,5.86
03_immune_T_cell,CP,non-pigmented ciliary epithelial cell;respiratory goblet cell;tracheal goblet cell;hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell;chorionic trophoblast cell;serous cell of epithelium of trachea,,no,0.383,0.955
03_immune_T_cell,CPA5,"central memory CD8-positive, alpha-beta T cell",,no,0.029,0.014
03_immune_T_cell,CREG1,intestinal tuft cell;tuft cell of colon;elicited macrophage;alternatively activated macrophage;Hofbauer cell,,no,18.053,15.362
03_immune_T_cell,CRTAM,"mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;activated CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta memory T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;CD8-positive, alpha-beta memory T cell, CD45RO-positive;effector memory CD8-positive, alpha-beta T cell;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;mature NK T cell;type I NK T cell;mucosal invariant T cell;gamma-delta T cell;CD8-alpha alpha positive, gamma-delta intraepithelial T cell;mature T cell;intraepithelial lymphocyte;CD16-negative, CD56-bright natural killer cell, human",CADM,no,0.065,0.071
03_immune_T_cell,CRYBG1,kidney collecting duct principal cell;renal principal cell;corneal epithelial cell;DN1 thymic pro-T cell;papillary tips cell;sebaceous gland cell,,no,2.173,3.34
03_immune_T_cell,CSF2,"endothelial cell of umbilical vein;T-helper 1 cell;activated CD4-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell;type I NK T cell;group 3 innate lymphoid cell",IL4,no,0.024,
03_immune_T_cell,CSF2RA,"elicited macrophage;inflammatory macrophage;microglial cell;colon macrophage;mononuclear phagocyte;placental villous trophoblast;syncytiotrophoblast cell;professional antigen presenting cell;dendritic cell;conventional dendritic cell;Langerhans cell;myeloid dendritic cell, human",IL4,no,0.526,0.921
03_immune_T_cell,CSF3R,"classical monocyte;CD14-positive, CD16-negative classical monocyte;bone marrow cell;granulocyte monocyte progenitor cell;placental villous trophoblast;syncytiotrophoblast cell;blood cell;granulocyte;neutrophil;myeloid leukocyte;monocyte;CD14-positive monocyte;myeloid cell;promyelocyte",CSF3,no,0.727,1.573
03_immune_T_cell,CSK,"CD141-positive myeloid dendritic cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;B-1a B cell;B-1b B cell;germinal center B cell;non-classical monocyte;CD14-low, CD16-positive monocyte;DN4 thymocyte;B cell;group 2 innate lymphoid cell",,no,5.215,6.292
03_immune_T_cell,CSRP1,myoepithelial cell;myoepithelial cell of mammary gland;smooth muscle cell;vascular associated smooth muscle cell;enteric smooth muscle cell;smooth muscle fiber of ileum;uterine smooth muscle cell;myometrial cell;tracheobronchial smooth muscle cell;bronchial smooth muscle cell;smooth muscle cell of prostate;connective tissue cell;fibroblast;pulmonary interstitial fibroblast;fibroblast of lung;bronchus fibroblast of lung;myofibroblast cell,,no,11.682,11.417
03_immune_T_cell,CTBP1,DN4 thymocyte,,no,26.8,26.39
03_immune_T_cell,CTCF,DN4 thymocyte;salivary gland cell,,no,6.933,8.393
03_immune_T_cell,CTSG,bone marrow cell;granulocyte monocyte progenitor cell;basophil;eosinophil;neutrophil;immature neutrophil;mast cell;double negative thymocyte;promonocyte;promyelocyte;myelocyte;hematopoietic precursor cell;myeloid lineage restricted progenitor cell;granulocytopoietic cell;common myeloid progenitor,PARs;CTSG,no,0.074,0.101
03_immune_T_cell,CTSK,endosteal cell;osteoclast;preosteoblast;decidual cell;connective tissue cell;fibroblast;keratocyte;reticular cell;fibroblast of mammary gland;skin fibroblast;fibroblast of breast;myofibroblast cell;stromal cell;tendon cell;adventitial cell;inflammatory cell,,no,1.741,2.075
03_immune_T_cell,CUEDC2,glioblast;Schwann cell precursor;neural crest cell;macrophage dendritic cell progenitor,,no,5.167,5.56
03_immune_T_cell,CYBA,"plasmacytoid dendritic cell;plasmacytoid dendritic cell, human;dendritic cell, human;activated CD8-positive, alpha-beta T cell, human;plasma cell;IgG plasma cell;IgA plasma cell",,no,8.835,6.415
03_immune_T_cell,CYLD,"mononuclear cell;lymphocyte;T cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;memory regulatory T cell;activated CD4-positive, alpha-beta T cell, human",,no,9.366,8.867
03_immune_T_cell,CYP11A1,Sertoli cell;neuroendocrine cell;chromaffin cell;mesothelial cell;glandular epithelial cell;cortical cell of adrenal gland;Leydig cell;extravillous trophoblast;syncytiotrophoblast cell;sympathetic neuron;theca cell,,no,0.04,0.017
03_immune_T_cell,CYP19A1,hepatoblast;trophoblast giant cell;syncytiotrophoblast cell;neuron,,no,0.342,0.088
