gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
HK1,,,,no,5.106,6.115,58477,71456,0.26,ENSG00000156515,Hexokinase-1,Mitochondrion outer membrane,erythroid lineage cell;enucleated reticulocyte;retina horizontal cell,
HK2,,,,no,0.796,1.377,9112,16091,0.792,ENSG00000159399,Hexokinase-2,Mitochondrion outer membrane,white fat cell,
HMOX1,,,,no,1.145,1.238,13114,14463,0.112,ENSG00000100292,Heme oxygenase 1 (HO-1),Endoplasmic reticulum membrane,"epithelial cell of lacrimal sac;squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;prostate gland microvascular endothelial cell;type II pneumocyte;endothelial cell of vascular tree;elicited macrophage;alternatively activated macrophage;Hofbauer cell;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive, CD16-positive monocyte;intermediate monocyte;lung secretory cell",
HOXB9,,,,no,0.028,0.019,320,223,-0.55,ENSG00000170689,Homeobox protein Hox-B9 (Homeobox protein Hox-2.5) (Homeobox protein Hox-2E),Nucleus,intestinal crypt stem cell of colon;type EC enteroendocrine cell;type L enteroendocrine cell;intestinal enteroendocrine cell;enteroendocrine cell of colon;brush cell,
IFNG,,,,no,0.062,0.022,705,255,-1.496,ENSG00000111537,Interferon gamma (IFN-gamma) (Immune interferon),Secreted,"lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;T-helper 1 cell;activated CD4-positive, alpha-beta T cell;CD4-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta cytotoxic T cell;activated CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta memory T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;CD8-positive, alpha-beta memory T cell, CD45RO-positive;effector memory CD8-positive, alpha-beta T cell;effector CD8-positive, alpha-beta T cell;mature NK T cell;type I NK T cell;gamma-delta T cell;CD8-alpha alpha positive, gamma-delta intraepithelial T cell;mature T cell;regulatory T cell;exhausted T cell;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;ILC1, human;DN1 thymic pro-T cell",IFN-II
IFNGR1,,,,no,10.424,12.924,119388,151017,0.31,ENSG00000027697,Interferon gamma receptor 1 (IFN-gamma receptor 1) (IFN-gamma-R1) (CDw119) (Interferon gamma receptor alpha-chain) (IFN-gamma-R-alpha) (CD antigen CD119),Cell membrane,myoepithelial cell;myoepithelial cell of mammary gland;microglial cell,IFN-II
IFNGR2,,,,no,7.387,6.266,84604,73213,-0.238,ENSG00000159128,Interferon gamma receptor 2 (IFN-gamma receptor 2) (IFN-gamma-R2) (Interferon gamma receptor accessory factor 1) (AF-1) (Interferon gamma receptor beta-chain) (IFN-gamma-R-beta) (Interferon gamma transducer 1),Cell membrane,epithelial cell of urethra,IFN-II
IGF1,,,,no,2.35,0.766,26912,8945,-1.618,ENSG00000017427,Insulin-like growth factor I (IGF-I) (Mechano growth factor) (MGF) (Somatomedin-C),Secreted,mesenchymal stem cell;pulmonary ionocyte;ionocyte;tracheobronchial smooth muscle cell;decidual cell;neuron;connective tissue cell;fibroblast;fibroblast of connective tissue of nonglandular part of prostate;fibroblast of connective tissue of glandular part of prostate;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle;myofibroblast cell;stromal cell;stromal cell of ovary;adventitial cell,IGF
IGF1R,,,,no,10.202,10.651,116843,124455,0.062,ENSG00000140443,Insulin-like growth factor 1 receptor,Cell membrane,corneal endothelial cell;pigmented epithelial cell;smooth muscle cell of sphincter of pupil,IGF
IGFBP1,,,,no,0.01,,116,0,,ENSG00000146678,Insulin-like growth factor-binding protein 1 (IBP-1) (IGF-binding protein 1) (IGFBP-1) (Placental protein 12) (PP12),Secreted,decidual cell;stromal cell,
