gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway,HALLMARK,KEGG,REACTOME
AAR2,,,,no,3.037,2.659,34781,31072,-0.192,ENSG00000131043,Protein AAR2 homolog (AAR2 splicing factor homolog),,,,,,
AARSD1,,,,no,3.496,4.187,40035,48920,0.26,ENSG00000266967,Alanyl-tRNA editing protein Aarsd1 (Alanyl-tRNA synthetase domain-containing protein 1),Cytoplasm,,,,,
ABCF3,,,,no,4.089,4.747,46827,55472,0.216,ENSG00000161204,ATP-binding cassette sub-family F member 3,,,,,,
ACPP,,,,no,0.373,0.298,4275,3477,-0.327,ENSG00000014257,ACPP protein,,,,,,
ACTBL2,,,,no,0.063,0.024,723,275,-1.423,ENSG00000169067,Beta-actin-like protein 2 (Kappa-actin),Cytoplasm,,,,,
ACTL7A,,,,no,0.018,,210,0,,ENSG00000187003,Actin-like protein 7A (Actin-like-7-alpha),Cytoplasm,,,,,
ADGRA1,,,,no,0.064,0.02,738,233,-1.692,ENSG00000197177,Adhesion G protein-coupled receptor A1 (G-protein coupled receptor 123),Membrane,,,,,
ADGRA3,,,,no,4.918,4.801,56326,56096,-0.035,ENSG00000152990,Adhesion G protein-coupled receptor A3 (G-protein coupled receptor 125),Membrane,cholangiocyte;hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;hepatic stellate cell,,,,
ADGRB2,,,,no,0.21,0.141,2404,1647,-0.575,ENSG00000121753,Adhesion G protein-coupled receptor B2 (Brain-specific angiogenesis inhibitor 2),Cell membrane,,ADGRB,,,
ADGRD2,,,,no,0.014,,159,0,,ENSG00000180264,Adhesion G-protein coupled receptor D2 (G-protein coupled receptor 144) (G-protein coupled receptor PGR24),Membrane,ependymal cell,,,,
ADGRG5,,,,no,0.087,0.101,999,1176,0.206,ENSG00000159618,Adhesion G-protein coupled receptor G5 (G-protein coupled receptor 114) (G-protein coupled receptor PGR27),Cell membrane,,,,,
ADGRL1,,,,no,3.277,2.886,37534,33720,-0.183,ENSG00000072071,Adhesion G protein-coupled receptor L1 (Calcium-independent alpha-latrotoxin receptor 1) (CIRL-1) (Latrophilin-1) (Lectomedin-2),Cell membrane,,ADGRL,,,
ADNP,,,,no,10.511,10.336,120382,120771,-0.024,ENSG00000101126,Activity-dependent neuroprotector homeobox protein (Activity-dependent neuroprotective protein),Nucleus,,,,,
ADTRP,,,,no,0.108,0.075,1236,878,-0.522,ENSG00000111863,Androgen-dependent TFPI-regulating protein (Fatty acid esters of hydroxy fatty acids hydrolase ADTRP) (FAHFA hydrolase ADTRP),Cell membrane,,,,,
AFF2,,,,no,0.195,0.14,2239,1637,-0.481,ENSG00000155966,AF4/FMR2 family member 2 (Protein FMR-2) (FMR2P) (Protein Ox19),Nucleus speckle,,,,,
AFG1L,,,,no,1.391,1.358,15934,15873,-0.034,ENSG00000135537,AFG1-like ATPase (Lactation elevated protein 1),Mitochondrion membrane,,,,,
AFM,,,,no,0.221,0.095,2527,1108,-1.218,ENSG00000079557,Afamin (Alpha-albumin) (Alpha-Alb),Secreted,,,,,
AJAP1,,,,no,0.724,0.482,8295,5633,-0.587,ENSG00000196581,Adherens junction-associated protein 1 (Membrane protein shrew-1),Basolateral cell membrane,,,,,
AKAP11,,,,no,7.687,6.672,88037,77955,-0.204,ENSG00000023516,A-kinase anchor protein 11 (AKAP-11) (A-kinase anchor protein 220 kDa) (AKAP 220) (hAKAP220) (Protein kinase A-anchoring protein 11) (PRKA11),Cytoplasm;Cytoplasm,,,,,
AKAP8,,,,no,6.527,6.549,74752,76518,0.005,ENSG00000105127,A-kinase anchor protein 8 (AKAP-8) (A-kinase anchor protein 95 kDa) (AKAP 95),Nucleus,,,,,
AKTIP,,,,no,6.324,6.247,72425,72991,-0.018,ENSG00000166971,AKT-interacting protein (Ft1) (Fused toes protein homolog),Cytoplasm,,,,,
ALPK3,,,,no,4.835,2.537,55376,29649,-0.93,ENSG00000136383,Alpha-protein kinase 3,Nucleus,,,,,
ALX1,,,,no,0.028,,323,0,,ENSG00000180318,ALX homeobox protein 1 (Cartilage homeoprotein 1) (CART-1),Nucleus,mesangial cell,,,,
AMIGO3,,,,no,0.37,0.332,4237,3881,-0.156,ENSG00000176020,Amphoterin-induced protein 3 (AMIGO-3) (Alivin-3),Membrane,,,,,
ANGPTL6,,,,no,0.159,0.261,1822,3050,0.714,ENSG00000130812,Angiopoietin-related protein 6 (Angiopoietin-like protein 6) (Angiopoietin-related growth factor) (Angiopoietin-related protein 5),Secreted,,,,,
ANKHD1,,,,no,10.792,14.004,123599,163631,0.376,ENSG00000131503,Ankyrin repeat and KH domain-containing protein 1 (HIV-1 Vpr-binding ankyrin repeat protein) (Multiple ankyrin repeats single KH domain) (hMASK),Cytoplasm,,,,,
ANKK1,,,,no,0.054,0.051,619,598,-0.079,ENSG00000170209,Ankyrin repeat and protein kinase domain-containing protein 1,,,,,,
ANKRD13D,,,,no,1.979,2.838,22670,33163,0.52,ENSG00000172932,Ankyrin repeat domain-containing protein 13D,Cell membrane,,,,,
ANKRD17,,,,no,9.613,9.097,110101,106294,-0.08,ENSG00000132466,Ankyrin repeat domain-containing protein 17 (Gene trap ankyrin repeat protein) (Serologically defined breast cancer antigen NY-BR-16),Cytoplasm,,,,,
ANKRD40,,,,no,8.601,7.801,98507,91153,-0.141,ENSG00000154945,Ankyrin repeat domain-containing protein 40,,,,,,
ANKS6,,,,no,3.115,3.198,35678,37368,0.038,ENSG00000165138,Ankyrin repeat and SAM domain-containing protein 6 (Ankyrin repeat domain-containing protein 14) (SamCystin) (Sterile alpha motif domain-containing protein 6) (SAM domain-containing protein 6),Cell projection,,,,,
ANXA8,,,,no,0.071,0.036,808,422,-0.966,ENSG00000265190,Annexin A8 (Annexin VIII) (Annexin-8) (Vascular anticoagulant-beta) (VAC-beta),,basal cell of epithelium of trachea,,,,
AP5B1,,,,no,5.088,4.826,58272,56393,-0.076,ENSG00000254470,AP-5 complex subunit beta-1 (Adaptor-related protein complex 5 beta subunit) (Beta5),,,,,,
APELA,,,,no,0.032,,368,0,,ENSG00000248329,Apelin receptor early endogenous ligand (Protein Elabela) (ELA) (Protein Toddler),Secreted,,APJ,,,
API5,,,,no,12.976,11.907,148614,139128,-0.124,ENSG00000166181,Apoptosis inhibitor 5 (API-5) (Antiapoptosis clone 11 protein) (AAC-11) (Cell migration-inducing gene 8 protein) (Fibroblast growth factor 2-interacting factor) (FIF) (Protein XAGL),Nucleus,,,,,
APLF,,,,no,2.679,1.68,30688,19625,-0.674,ENSG00000169621,Aprataxin and PNK-like factor,Nucleus,,,,,
APTX,,,,no,5.88,5.166,67349,60362,-0.187,ENSG00000137074,Aprataxin,Nucleus,,,,,
ARHGAP36,,,,no,0.022,,251,0,,ENSG00000147256,Rho GTPase-activating protein 36,,,,,,
ARID3B,,,,no,1.125,1.341,12886,15669,0.253,ENSG00000179361,AT-rich interactive domain-containing protein 3B (ARID domain-containing protein 3B) (Bright and dead ringer protein) (Bright-like protein),Nucleus,,,,,
ARL4D,,,,no,0.418,0.337,4783,3939,-0.309,ENSG00000175906,ADP-ribosylation factor-like protein 4D (ADP-ribosylation factor-like protein 4L),Nucleus,endosteal cell,,,,
ARMC7,,,,no,0.674,0.768,7715,8969,0.188,ENSG00000125449,Armadillo repeat-containing protein 7,,,,,,
ARMH3,,,,no,3.464,4.542,39668,53072,0.391,ENSG00000120029,Armadillo-like helical domain-containing protein 3,Golgi apparatus membrane,,,,,
ART1,,,,no,0.014,,160,0,,ENSG00000129744,GPI-linked NAD(P)(+)--arginine ADP-ribosyltransferase 1,Sarcoplasmic reticulum membrane,,,,,
ASCL2,,,,no,0.182,0.23,2085,2685,0.336,ENSG00000183734,Achaete-scute homolog 2 (ASH-2) (hASH2) (Class A basic helix-loop-helix protein 45) (bHLHa45) (Mash2),Nucleus,stem cell;intestinal crypt stem cell;intestinal crypt stem cell of small intestine;intestinal crypt stem cell of colon;brush cell of trachebronchial tree;brush cell of bronchus;extravillous trophoblast,,,,
ATAD3A,,,,no,2.293,2.216,26266,25893,-0.05,ENSG00000197785,ATPase family AAA domain-containing protein 3A,Mitochondrion inner membrane,,,,,
ATL1,,,,no,1.164,1.282,13333,14976,0.139,ENSG00000198513,Atlastin-1,Endoplasmic reticulum membrane,,,,,
ATL3,,,,no,12.335,11.606,141271,135617,-0.088,ENSG00000184743,Atlastin-3,Endoplasmic reticulum membrane,,,,,
ATOH7,,,,no,0.146,0.09,1672,1049,-0.701,ENSG00000179774,Transcription factor ATOH7 (Atonal bHLH transcription factor 7) (Class A basic helix-loop-helix protein 13) (bHLHa13) (Protein atonal homolog 7),Nucleus,,,,,
ATPAF1,,,,no,6.095,5.911,69810,69066,-0.044,ENSG00000123472,ATP synthase mitochondrial F1 complex assembly factor 1 (ATP11 homolog),Mitochondrion,,,,,
ATPSCKMT,,,,no,2.464,1.903,28219,22233,-0.373,ENSG00000150756,ATP synthase subunit C lysine N-methyltransferase,Mitochondrion membrane,,,,,
ATXN7L2,,,,no,0.546,0.7,6257,8181,0.358,ENSG00000162650,Ataxin-7-like protein 2,,,,,,
AUNIP,,,,no,0.121,0.045,1389,529,-1.422,ENSG00000127423,Aurora kinase A- and ninein-interacting protein (AIBp),Nucleus,,,,,
AURKC,,,,no,0.23,0.202,2631,2363,-0.184,ENSG00000105146,Aurora kinase C,Nucleus;Chromosome;Chromosome,,,,,
BAP1,,,,no,7.501,8.33,85910,97337,0.151,ENSG00000163930,Ubiquitin carboxyl-terminal hydrolase BAP1,Cytoplasm,,,,,
BARHL2,,,,no,0.113,0.078,1295,916,-0.528,ENSG00000143032,BarH-like 2 homeobox protein,Nucleus,,,,,
BAZ2B,,,,no,4.726,5.315,54121,62109,0.17,ENSG00000123636,Bromodomain adjacent to zinc finger domain protein 2B (hWALp4),Nucleus,,,,,
BCAR4,,,,no,0.029,,328,0,,ENSG00000262117,"Breast cancer antiestrogen resistance 4 protein (HCG1814062, isoform CRA_a)",,extravillous trophoblast,,,,
BCAS3,,,,no,4.26,4.701,48791,54927,0.142,ENSG00000141376,BCAS3 microtubule associated cell migration factor (Breast carcinoma-amplified sequence 3) (GAOB1),Nucleus,,,,,
BCCIP,,,,no,12.009,10.404,137536,121564,-0.207,ENSG00000107949,BRCA2 and CDKN1A-interacting protein (P21- and CDK-associated protein 1) (Protein TOK-1),Nucleus,,,,,
BCL2L12,,,,no,0.611,0.666,6994,7784,0.125,ENSG00000126453,Bcl-2-like protein 12 (Bcl2-L-12) (Bcl-2-related proline-rich protein),,,,,,
BCL7B,,,,no,5.749,4.843,65848,56590,-0.247,ENSG00000106635,B-cell CLL/lymphoma 7 protein family member B (allergen Hom s 3),,,,,,
BCL7C,,,,no,0.696,0.698,7967,8159,0.005,ENSG00000099385,B-cell CLL/lymphoma 7 protein family member C,,,,,,
BCORL1,,,,no,1.993,2.459,22830,28732,0.303,ENSG00000085185,BCL-6 corepressor-like protein 1 (BCoR-L1) (BCoR-like protein 1),Nucleus,,,,,
BFSP1,,,,no,0.92,0.674,10536,7876,-0.449,ENSG00000125864,Filensin (Beaded filament structural protein 1) (Lens fiber cell beaded-filament structural protein CP 115) (CP115) (Lens intermediate filament-like heavy) (LIFL-H),Cell membrane,,,,,
BFSP2,,,,no,0.043,,490,0,,ENSG00000170819,Phakinin (49 kDa cytoskeletal protein) (Beaded filament structural protein 2) (Lens fiber cell beaded filament protein CP 47) (CP47) (Lens fiber cell beaded filament protein CP 49) (CP49) (Lens intermediate filament-like light) (LIFL-L),Cell membrane,lens fiber cell;secondary lens fiber,,,,
BICRAL,,,,no,3.716,4.408,42564,51508,0.246,ENSG00000112624,BRD4-interacting chromatin-remodeling complex-associated protein-like (Glioma tumor suppressor candidate region gene 1 protein-like),,,,,,
BLOC1S2,,,,no,4.886,3.937,55960,46003,-0.312,ENSG00000196072,Biogenesis of lysosome-related organelles complex 1 subunit 2 (BLOC-1 subunit 2) (Centrosome-associated protein),Cytoplasm,,,,,
BNC1,,,,no,0.043,0.011,489,132,-1.918,ENSG00000169594,Zinc finger protein basonuclin-1,Nucleus,stem cell of epidermis;mesothelial cell,,,,
BRD3,,,,no,4.394,4.673,50325,54607,0.089,ENSG00000169925,Bromodomain-containing protein 3 (RING3-like protein),Nucleus,Leydig cell,,,,
BRI3BP,,,,no,6.413,4.585,73452,53579,-0.484,ENSG00000184992,BRI3-binding protein (I3-binding protein) (Cervical cancer 1 proto-oncogene-binding protein KG19) (HCCRBP-1),Mitochondrion outer membrane,transit amplifying cell of small intestine,,,,
BRINP1,,,,no,0.04,0.021,459,241,-0.958,ENSG00000078725,BMP/retinoic acid-inducible neural-specific protein 1 (Deleted in bladder cancer protein 1),Cytoplasm,ganglion interneuron,,,,
BRIX1,,,,no,3.742,3.079,42861,35972,-0.282,ENSG00000113460,Ribosome biogenesis protein BRX1 homolog (Brix domain-containing protein 2),Nucleus,,,,,
BRSK2,,,,no,5.297,6.258,60669,73125,0.241,ENSG00000174672,Serine/threonine-protein kinase BRSK2,Cytoplasm,,,,,
BSDC1,,,,no,8.075,7.267,92486,84911,-0.152,ENSG00000160058,BSD domain-containing protein 1,,,,,,
BTAF1,,,,no,9.198,10.573,105346,123548,0.201,ENSG00000095564,TATA-binding protein-associated factor 172,Nucleus,,,,,
BTBD9,,,,no,2.935,3.539,33613,41347,0.27,ENSG00000183826,BTB/POZ domain-containing protein 9,,,,,,
C1QL3,,,,no,0.074,0.013,845,153,-2.494,ENSG00000165985,Complement C1q-like protein 3 (C1q and tumor necrosis factor-related protein 13) (C1q/TNF-related protein 13),Secreted,,ADGRB,,,
C1QTNF6,,,,no,0.775,1.317,8879,15387,0.764,ENSG00000133466,Complement C1q tumor necrosis factor-related protein 6,Secreted,extravillous trophoblast,,,,
C1QTNF9,,,,no,0.172,0.044,1973,511,-1.978,ENSG00000240654,Complement C1q and tumor necrosis factor-related protein 9A (Complement C1q and tumor necrosis factor-related protein 9),Secreted,,,,,
C1RL,,,,no,16.209,14.772,185643,172609,-0.134,ENSG00000139178,Complement C1r subcomponent-like protein (C1r-LP) (C1r-like protein),Secreted,,,,,
CABCOCO1,,,,no,0.459,0.065,5253,758,-2.822,ENSG00000183346,Ciliary-associated calcium-binding coiled-coil protein 1,Cytoplasm,,,,,
CABP4,,,,no,0.243,0.242,2786,2831,-0.006,ENSG00000175544,Calcium-binding protein 4 (CaBP4),Cytoplasm,,,,,
CABYR,,,,no,0.153,0.105,1757,1225,-0.549,ENSG00000154040,Calcium-binding tyrosine phosphorylation-regulated protein (Calcium-binding protein 86) (Cancer/testis antigen 88) (CT88) (Fibrousheathin II) (Fibrousheathin-2) (FSP-2) (Testis-specific calcium-binding protein CBP86),Cytoplasm,,,,,
CACUL1,,,,no,5.348,4.837,61250,56514,-0.145,ENSG00000151893,CDK2-associated and cullin domain-containing protein 1 (Cdk-associated cullin 1),,,,,,
CADM4,,,,no,5.293,4.61,60625,53872,-0.199,ENSG00000105767,Cell adhesion molecule 4 (Immunoglobulin superfamily member 4C) (IgSF4C) (Nectin-like protein 4) (NECL-4) (TSLC1-like protein 2),Membrane,,CADM,,,
CALR3,,,,no,0.04,0.019,456,224,-1.054,ENSG00000269058,Calreticulin-3 (Calreticulin-2) (Calsperin),Endoplasmic reticulum lumen,,,,,
CAMSAP2,,,,no,2.308,2.099,26436,24527,-0.137,ENSG00000118200,Calmodulin-regulated spectrin-associated protein 2 (Calmodulin-regulated spectrin-associated protein 1-like protein 1),Cytoplasm,,,,,
CARF,,,,no,2.29,2.613,26232,30535,0.19,ENSG00000138380,Calcium-responsive transcription factor (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 8 protein) (Calcium-response factor) (CaRF) (Testis development protein NYD-SP24),Nucleus,,,,,
CASC8,,,,no,0.036,0.013,415,155,-1.45,ENSG00000246228,,,,,,,
CASS4,,,,no,0.852,0.635,9753,7418,-0.424,ENSG00000087589,Cas scaffolding protein family member 4 (HEF-like protein) (HEF1-EFS-p130Cas-like protein) (HEPL),Cytoplasm,,,,,
CBARP,,,,no,0.401,0.116,4597,1353,-1.793,ENSG00000099625,Voltage-dependent calcium channel beta subunit-associated regulatory protein,Cytoplasmic vesicle,,,,,
CBLN3,,,,no,0.355,0.443,4065,5173,0.319,ENSG00000139899,Cerebellin-3,Endoplasmic reticulum,,,,,
CBWD2,,,,no,12.694,10.733,145379,125418,-0.242,ENSG00000136682,,,,,,,
CBX7,,,,no,6.717,10.493,76935,122607,0.643,ENSG00000100307,Chromobox protein homolog 7,Nucleus,,,,,
CC2D1A,,,,no,4.77,4.964,54632,58008,0.058,ENSG00000132024,Coiled-coil and C2 domain-containing protein 1A (Akt kinase-interacting protein 1) (Five prime repressor element under dual repression-binding protein 1) (FRE under dual repression-binding protein 1) (Freud-1) (Putative NF-kappa-B-activating protein 023N),Cytoplasm,brush cell,,,,
CCAT2,,,,no,0.114,0.088,1302,1028,-0.37,ENSG00000280997,,,,,,,
CCDC103,,,,no,0.175,0.137,1999,1606,-0.345,ENSG00000167131,Coiled-coil domain-containing protein 103,Cytoplasm,,,,,
CCDC113,,,,no,0.917,0.747,10500,8729,-0.295,ENSG00000103021,Coiled-coil domain-containing protein 113,Cytoplasm,,,,,
CCDC124,,,,no,4.66,4.285,53374,50073,-0.121,ENSG00000007080,Coiled-coil domain-containing protein 124,Cytoplasm,Leydig cell,,,,
CCDC137,,,,no,2.978,3.732,34104,43612,0.326,ENSG00000185298,Coiled-coil domain-containing protein 137,Chromosome,,,,,
CCDC27,,,,no,0.028,,323,0,,ENSG00000162592,Coiled-coil domain-containing protein 27,,,,,,
CCDC33,,,,no,0.036,0.009,409,108,-1.95,ENSG00000140481,Coiled-coil domain-containing protein 33 (Cancer/testis antigen 61) (CT61),,,,,,
CCDC43,,,,no,4.693,4.048,53746,47298,-0.213,ENSG00000180329,Coiled-coil domain-containing protein 43,,,,,,
CCDC51,,,,no,0.624,0.645,7144,7531,0.047,ENSG00000164051,Mitochondrial potassium channel (MITOK) (Coiled-coil domain-containing protein 51),Mitochondrion inner membrane,,,,,
CCDC61,,,,no,0.624,0.781,7151,9121,0.322,ENSG00000104983,Centrosomal protein CCDC61 (Coiled-coil domain-containing protein 61) (VFL3 homolog),Cytoplasm,,,,,
CCDC62,,,,no,0.268,0.127,3072,1479,-1.083,ENSG00000130783,Coiled-coil domain-containing protein 62 (Protein TSP-NY) (Protein aaa),Cytoplasm,,,,,
CCDC7,,,,no,4.62,4.823,52909,56361,0.062,ENSG00000216937,Coiled-coil domain-containing protein 7 (Protein BIOT2),,,,,,
CCDC77,,,,no,0.943,1.069,10798,12495,0.182,ENSG00000120647,Coiled-coil domain-containing protein 77,,,,,,
CCDC9,,,,no,11.944,15.013,136794,175424,0.33,ENSG00000105321,Coiled-coil domain-containing protein 9,,,,,,
CCDC91,,,,no,9.239,8.728,105818,101983,-0.082,ENSG00000123106,Coiled-coil domain-containing protein 91 (GGA-binding partner) (p56 accessory protein),Membrane,podocyte,,,,
CCNY,,,,no,10.375,9.586,118827,112008,-0.114,ENSG00000108100,Cyclin-Y (Cyc-Y) (Cyclin box protein 1) (Cyclin fold protein 1) (cyclin-X),Cell membrane,,,,,
CD3EAP,,,,no,0.935,0.826,10713,9650,-0.18,ENSG00000117877,CD3EAP protein,,,,,,
CD5L,,,,no,0.014,0.014,158,164,0.025,ENSG00000073754,CD5 antigen-like (Apoptosis inhibitor expressed by macrophages) (hAIM) (CT-2) (IgM-associated peptide) (SP-alpha),Secreted,Hofbauer cell,,,,
CDAN1,,,,no,1.343,2.2,15382,25709,0.712,ENSG00000140326,Codanin-1,Cytoplasm;Nucleus;Membrane,,,,,
CDC123,,,,no,8.094,6.852,92695,80069,-0.24,ENSG00000151465,Cell division cycle protein 123 homolog (Protein D123) (HT-1080) (PZ32),Cytoplasm,,,,,
CDC42BPG,,,,no,5.569,7.691,63778,89870,0.466,ENSG00000171219,Serine/threonine-protein kinase MRCK gamma,Cytoplasm,,,,,
CDCA2,,,,no,0.216,0.142,2474,1661,-0.604,ENSG00000184661,Cell division cycle-associated protein 2 (Recruits PP1 onto mitotic chromatin at anaphase protein) (Repo-Man),Nucleus,,,,,
CDCA7L,,,,no,5.019,4.696,57484,54873,-0.096,ENSG00000164649,Cell division cycle-associated 7-like protein (Protein JPO2) (Transcription factor RAM2),Cytoplasm;Nucleus,,,,,
CDH22,,,,no,1.429,0.848,16366,9913,-0.752,ENSG00000149654,Cadherin-22 (Pituitary and brain cadherin) (PB-cadherin),Cell membrane,,,,,
CDHR1,,,,no,0.065,0.085,743,997,0.395,ENSG00000148600,Cadherin-related family member 1 (Photoreceptor cadherin) (prCAD) (Protocadherin-21),Cell membrane,intestinal crypt stem cell of colon;basal cell of epidermis;stem cell of epidermis;retinal cone cell,,,,
CDK10,,,,no,7.207,8.271,82542,96649,0.199,ENSG00000185324,Cyclin-dependent kinase 10,Cytoplasm,,,,,
CDK16,,,,no,13.66,12.586,156452,147059,-0.118,ENSG00000102225,Cyclin-dependent kinase 16,Cytoplasm;Cytoplasmic vesicle,,,,,
CDK18,,,,no,4.776,6.29,54705,73497,0.397,ENSG00000117266,Cyclin-dependent kinase 18,,,,,,
CDK3,,,,no,1.634,2.048,18717,23929,0.326,ENSG00000250506,Cyclin-dependent kinase 3,,,,,,
CDK5RAP1,,,,no,3.732,4.55,42744,53167,0.286,ENSG00000101391,Mitochondrial tRNA methylthiotransferase CDK5RAP1,Mitochondrion,,,,,
CDKL1,,,,no,0.325,0.304,3718,3549,-0.096,ENSG00000100490,Cyclin-dependent kinase-like 1,Cytoplasm,,,,,
CDKL3,,,,no,0.302,0.236,3454,2752,-0.357,ENSG00000006837,Cyclin-dependent kinase-like 3,Cytoplasm,,,,,
CDR2L,,,,no,2.999,2.264,34353,26449,-0.406,ENSG00000109089,Cerebellar degeneration-related protein 2-like (Paraneoplastic 62 kDa antigen),,,,,,
CELSR3,,,,no,0.318,0.257,3640,3003,-0.306,ENSG00000008300,Cadherin EGF LAG seven-pass G-type receptor 3 (Cadherin family member 11) (Epidermal growth factor-like protein 1) (EGF-like protein 1) (Flamingo homolog 1) (hFmi1) (Multiple epidermal growth factor-like domains protein 2) (Multiple EGF-like domains protein 2),Cell membrane,,,,,
CENPB,,,,no,6.651,5.753,76171,67218,-0.209,ENSG00000125817,Major centromere autoantigen B (Centromere protein B) (CENP-B),Nucleus,,,,,
CEP112,,,,no,4.378,4.564,50138,53334,0.06,ENSG00000154240,Centrosomal protein of 112 kDa (Cep112) (Coiled-coil domain-containing protein 46),Cytoplasm,neuronal receptor cell;photoreceptor cell;eye photoreceptor cell;retinal rod cell,,,,
CEP128,,,,no,0.832,1.036,9525,12111,0.318,ENSG00000100629,Centrosomal protein of 128 kDa (Cep128),Cytoplasm,skeletal muscle fiber;cell of skeletal muscle,,,,
CEP170,,,,no,2.983,3.527,34162,41215,0.242,ENSG00000143702,Centrosomal protein of 170 kDa (Cep170) (KARP-1-binding protein) (KARP1-binding protein),Cytoplasm,,,,,
CEP19,,,,no,0.503,0.415,5757,4848,-0.277,ENSG00000174007,Centrosomal protein of 19 kDa (Cep19),Cytoplasm,,,,,
CEP44,,,,no,2.118,2.378,24261,27783,0.167,ENSG00000164118,Centrosomal protein of 44 kDa (Cep44) (HBV PreS1-transactivated protein 3) (PS1TP3),Cytoplasm,,,,,
CEP85,,,,no,1.814,1.996,20776,23321,0.138,ENSG00000130695,Centrosomal protein of 85 kDa (Cep85) (Coiled-coil domain-containing protein 21),Cytoplasm,,,,,
CFAP46,,,,no,0.389,0.344,4453,4014,-0.179,ENSG00000171811,Cilia- and flagella-associated protein 46 (Tetratricopeptide repeat protein 40),Cytoplasm,,,,,
CFDP1,,,,no,7.258,6.941,83125,81108,-0.064,ENSG00000153774,Craniofacial development protein 1 (Bucentaur),Chromosome,,,,,
CHD5,,,,no,0.264,0.307,3022,3587,0.218,ENSG00000116254,Chromodomain-helicase-DNA-binding protein 5 (CHD-5),Nucleus,,,,,
CHD7,,,,no,5.037,5.257,57691,61426,0.062,ENSG00000171316,Chromodomain-helicase-DNA-binding protein 7 (CHD-7),Nucleus,,,,,
CHRAC1,,,,no,4.197,2.552,48071,29823,-0.718,ENSG00000104472,Chromatin accessibility complex protein 1 (CHRAC-1) (Chromatin accessibility complex 15 kDa protein) (CHRAC-15) (HuCHRAC15) (DNA polymerase epsilon subunit p15),Nucleus,,,,,
CINP,,,,no,6.291,6.302,72054,73641,0.003,ENSG00000100865,Cyclin-dependent kinase 2-interacting protein (CDK2-interacting protein),Nucleus,,,,,
CIP2A,,,,no,0.67,0.652,7677,7620,-0.04,ENSG00000163507,Protein CIP2A (Cancerous inhibitor of PP2A) (p90 autoantigen),Membrane,,,,,
CISD2,,,,no,6.466,4.646,74055,54282,-0.477,ENSG00000145354,CDGSH iron-sulfur domain-containing protein 2 (Endoplasmic reticulum intermembrane small protein) (MitoNEET-related 1 protein) (Miner1) (Nutrient-deprivation autophagy factor-1) (NAF-1),Endoplasmic reticulum membrane,erythrocyte;erythroid lineage cell;reticulocyte;enucleated reticulocyte,,,,
CKAP2,,,,no,1.313,0.922,15035,10775,-0.51,ENSG00000136108,Cytoskeleton-associated protein 2 (CTCL tumor antigen se20-10) (Tumor- and microtubule-associated protein),Cytoplasm,enucleated reticulocyte,,,,
CLEC16A,,,,no,4.246,4.445,48633,51938,0.066,ENSG00000038532,Protein CLEC16A (C-type lectin domain family 16 member A),Endosome membrane,,,,,
CLEC2A,,,,no,0.057,,650,0,,ENSG00000188393,C-type lectin domain family 2 member A (Keratinocyte-associated C-type lectin) (KACL) (Proliferation-induced lymphocyte-associated receptor) (PILAR),Cell membrane,,CLEC,,,
CLK2,,,,no,7.908,11.81,90565,137999,0.579,ENSG00000176444,Dual specificity protein kinase CLK2,Nucleus,,,,,
CLK3,,,,no,5.191,5.894,59455,68866,0.183,ENSG00000179335,Dual specificity protein kinase CLK3,Nucleus speckle,,,,,
CLPX,,,,no,11.866,12.5,135902,146054,0.075,ENSG00000166855,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial",Mitochondrion;Mitochondrion matrix,,,,,
CMSS1,,,,no,4.677,3.566,53569,41669,-0.391,ENSG00000184220,Protein CMSS1 (Cms1 ribosomal small subunit homolog),,,,,,
CMYA5,,,,no,0.126,0.08,1442,930,-0.662,ENSG00000164309,Cardiomyopathy-associated protein 5 (Dystrobrevin-binding protein 2) (Genethonin-3) (Myospryn) (SPRY domain-containing protein 2) (Tripartite motif-containing protein 76),Nucleus,muscle cell;cardiac muscle cell;regular atrial cardiac myocyte;regular ventricular cardiac myocyte;skeletal muscle fiber;slow muscle cell;fast muscle cell;muscle precursor cell;cardiac muscle myoblast,,,,
CNIH4,,,,no,3.103,2.964,35534,34633,-0.066,ENSG00000143771,Protein cornichon homolog 4 (CNIH-4) (Cornichon family AMPA receptor auxiliary protein 4),Membrane,,,,,
CNMD,,,,no,0.103,0.018,1179,209,-2.525,ENSG00000136110,Leukocyte cell-derived chemotaxin 1 (Chondromodulin),Endomembrane system,chondrocyte,,,,
CNNM1,,,,no,0.555,0.475,6352,5555,-0.222,ENSG00000119946,Metal transporter CNNM1 (Ancient conserved domain-containing protein 1) (Cyclin-M1),Cell membrane,,,,,
CNNM3,,,,no,5.834,7.131,66814,83329,0.29,ENSG00000168763,Metal transporter CNNM3 (Ancient conserved domain-containing protein 3) (Cyclin-M3),Cell membrane,,,,,
CNST,,,,no,2.132,2.296,24421,26828,0.107,ENSG00000162852,Consortin,Cell membrane,platelet;megakaryocyte,,,,
