gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
PSMD2,,,no,ENSG00000175166,26S proteasome non-ATPase regulatory subunit 2 (26S proteasome regulatory subunit RPN1) (26S proteasome regulatory subunit S2) (26S proteasome subunit p97) (Protein 55.11) (Tumor necrosis factor type 1 receptor-associated protein 2),,fallopian tube secretory epithelial cell,,9.373,9.291,9.373,107351,108568,-0.013,curated,DNA_repair_damage,False
PSMD3,,,no,ENSG00000108344,26S proteasome non-ATPase regulatory subunit 3 (26S proteasome regulatory subunit RPN3) (26S proteasome regulatory subunit S3) (Proteasome subunit p58),,,,16.487,16.171,16.487,188821,188957,-0.028,curated,DNA_repair_damage,True
PSMD4,,,no,ENSG00000159352,26S proteasome non-ATPase regulatory subunit 4 (26S proteasome regulatory subunit RPN10) (26S proteasome regulatory subunit S5A) (Antisecretory factor 1) (AF) (ASF) (Multiubiquitin chain-binding protein),,placental villous trophoblast,,9.985,10.427,10.427,114361,121840,0.062,curated,DNA_repair_damage,True
PSME3,,,no,ENSG00000131467,Proteasome activator complex subunit 3 (11S regulator complex subunit gamma) (REG-gamma) (Activator of multicatalytic protease subunit 3) (Ki nuclear autoantigen) (Proteasome activator 28 subunit gamma) (PA28g) (PA28gamma),Nucleus,,,14.974,12.598,14.974,171497,147200,-0.249,curated,DNA_repair_damage,True
RAD50,,,no,ENSG00000113522,DNA repair protein RAD50 (hRAD50),Nucleus,,,6.972,7.55,7.55,79853,88219,0.115,curated,DNA_repair_damage,True
RAD51,,,no,ENSG00000051180,DNA repair protein RAD51 homolog 1 (HsRAD51) (hRAD51) (RAD51 homolog A),Nucleus,,,0.166,0.089,0.166,1901,1038,-0.902,curated,DNA_repair_damage,True
RAD52,,,no,ENSG00000002016,DNA repair protein RAD52 homolog,Nucleus,,,1.632,2.327,2.327,18691,27191,0.512,curated,DNA_repair_damage,True
RAD54L,,,no,ENSG00000085999,DNA repair and recombination protein RAD54-like,Nucleus,,,0.213,0.197,0.213,2435,2301,-0.111,curated,DNA_repair_damage,True
RBBP8,,,no,ENSG00000101773,DNA endonuclease RBBP8,Nucleus,,,8.243,7.065,8.243,94408,82556,-0.222,curated,DNA_repair_damage,True
RBX1,,,no,ENSG00000100387,E3 ubiquitin-protein ligase RBX1,Cytoplasm,erythroid lineage cell,,3.286,2.956,3.286,37629,34537,-0.153,curated,DNA_repair_damage,True
RFC3,,,no,ENSG00000133119,Replication factor C subunit 3 (Activator 1 38 kDa subunit) (A1 38 kDa subunit) (Activator 1 subunit 3) (Replication factor C 38 kDa subunit) (RF-C 38 kDa subunit) (RFC38),Nucleus,,,1.845,1.704,1.845,21131,19914,-0.114,curated,DNA_repair_damage,True
RFC4,,,no,ENSG00000163918,Replication factor C subunit 4 (Activator 1 37 kDa subunit) (A1 37 kDa subunit) (Activator 1 subunit 4) (Replication factor C 37 kDa subunit) (RF-C 37 kDa subunit) (RFC37),Nucleus,,,2.339,2.446,2.446,26783,28577,0.065,curated,DNA_repair_damage,True
RFC5,,,no,ENSG00000111445,Replication factor C subunit 5 (Activator 1 36 kDa subunit) (A1 36 kDa subunit) (Activator 1 subunit 5) (Replication factor C 36 kDa subunit) (RF-C 36 kDa subunit) (RFC36),Nucleus,precursor B cell,,2.272,2.945,2.945,26019,34407,0.374,curated,DNA_repair_damage,False
RPA1,,,no,ENSG00000132383,Replication protein A 70 kDa DNA-binding subunit (RP-A p70) (Replication factor A protein 1) (RF-A protein 1) (Single-stranded DNA-binding protein),Nucleus,,,6.128,6.763,6.763,70183,79027,0.142,curated,DNA_repair_damage,True
RPA2,,,no,ENSG00000117748,Replication protein A 32 kDa subunit (RP-A p32) (Replication factor A protein 2) (RF-A protein 2) (Replication protein A 34 kDa subunit) (RP-A p34),Nucleus,macrophage dendritic cell progenitor,,6.815,4.959,6.815,78047,57950,-0.458,curated,DNA_repair_damage,False
RPA3,,,no,ENSG00000106399,Replication protein A 14 kDa subunit (RP-A p14) (Replication factor A protein 3) (RF-A protein 3),Nucleus,primitive red blood cell,,2.762,2.717,2.762,31630,31751,-0.023,curated,DNA_repair_damage,True
