gene,Ensembl ID,Probe sets,Codewords,Tissues,Cell types
GPC1,ENSG00000063660,6,1,General,Smooth muscle cells
GPC3,ENSG00000147257,8,1,General;Lung,Fibroblasts;Ciliated cells
GPR183,ENSG00000169508,8,1,General;General;General;General;Skin,B cells;Macrophages;Monocytes;T cells;Langerhans cells
GPRC5A,ENSG00000013588,8,1,Breast;Colon;Colon;General;Lung;Pancreas,Glandular cells;Distal enterocytes;Paneth cells;Fibroblasts;Alveolar Type I;Endocrine cells
GPX2,ENSG00000176153,4,1,Colon;Colon;Liver;Liver;Pancreas,Distal enterocytes;Undifferentiated cells;Cholangiocytes;Hepatocytes;Ductal cells
GYPA,ENSG00000170180,8,1,Liver,Erythroid cells
GYPB,ENSG00000250361,1,1,Liver,Erythroid cells
GZMA,ENSG00000145649,8,1,Breast;General,Dendritic cells;T cells
GZMB,ENSG00000100453,4,1,Breast;General,Dendritic cells;T cells
GZMK,ENSG00000113088,8,1,General,T cells
HAMP,ENSG00000105697,4,1,Breast;General;Liver;Pancreas,Glandular cells;Granulocytes;Hepatocytes;Exocrine glandular cells
HAVCR2,ENSG00000135077,8,1,General;General;General;General;Kidney,Granulocytes;Immune checkpoint markers;Macrophages;T cells;Proximal tubular cells
HEMGN,ENSG00000136929,8,1,Liver,Erythroid cells
HEPACAM2,ENSG00000188175,8,1,Colon;Colon,Endocrine cells;Goblet cells
HES4,ENSG00000188290,1,1,Colon;Colon;General;Pancreas,Distal enterocytes;Paneth cells;Smooth muscle cells;Ductal cells
HIGD1B,ENSG00000131097,5,1,Breast;General;General,Adipocytes;Endothelial cells;Smooth muscle cells
HLA-DQB2,ENSG00000232629,8,1,General;Skin,Macrophages;Langerhans cells
HMGCS2,ENSG00000134240,4,1,Colon;Colon;Liver,Distal enterocytes;Undifferentiated cells;Hepatocytes
HPGDS,ENSG00000163106,8,1,General,Granulocytes
HPX,ENSG00000110169,3,1,Liver,Hepatocytes
IGF1,ENSG00000017427,8,1,General;General;Liver,Endothelial cells;Fibroblasts;Hepatocytes
