gene,category,rationale,single_gene_panel_note,HALLMARK,KEGG,REACTOME
DPM1,,,,,N-Glycan biosynthesis,Asparagine N-linked Glycosylation R-HSA-446203;Biosynthesis Of N-glycan Precursor (Dolichol LLO) And Transfer To Protein R-HSA-446193;Disease R-HSA-1643685;Diseases Associated With Glycosylation Precursor Biosynthesis R-HSA-5609975;Diseases Of Glycosylation R-HSA-3781865;Diseases Of Metabolism R-HSA-5668914;Metabolism Of Proteins R-HSA-392499;Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125;Post-translational Protein Modification R-HSA-597592;Synthesis Of Substrates In N-glycan Biosythesis R-HSA-446219
DPP8,,,,,,
DPPA2,,,,,,
DRC3,,,,,,
DRG1,,,,,,
DTNBP1,,,,,,Golgi Associated Vesicle Biogenesis R-HSA-432722;Membrane Trafficking R-HSA-199991;Vesicle-mediated Transport R-HSA-5653656;trans-Golgi Network Vesicle Budding R-HSA-199992
DUSP13,,,,,,
DUSP28,,,,,,
DUX4,,,,,,
DYDC1,,,,,,
DYRK1B,,,,,,
DZIP1L,,,,,,
E4F1,,,,,,
ECHDC1,,,,,Propanoate metabolism,
ECPAS,,,,,,
EDRF1,,,,,,
EEF1AKNMT,,,,,,
EFHC2,,,,,,
EGFL8,,,,,,
EIF1AD,,,,,,
EIF4EBP2,,,,,Longevity regulating pathway;RNA transport,
EIF4EBP3,,,,,RNA transport,
EIF4ENIF1,,,,,,
EIF5AL1,,,,,,"Gamma Carboxylation, Hypusine Formation And Arylsulfatase Activation R-HSA-163841;Metabolism Of Proteins R-HSA-392499;Post-translational Protein Modification R-HSA-597592"
EIPR1,,,,,,
ELAC1,,,,,RNA transport,
ELFN1,,,,,,
ELMOD1,,,,,,
ELMOD2,,,,,,
ELSPBP1,,,,,,
EMC1,,,,,,
EMC4,,,,,,
EMSY,,,,,,
EN1,,,,,,
EN2,,,,,,
ENOX2,,,,,,
ENTPD2,,,,,Purine metabolism;Taste transduction,Metabolism R-HSA-1430728;Metabolism Of Nucleotides R-HSA-15869;Nucleotide Catabolism R-HSA-8956319;Phosphate Bond Hydrolysis By NTPDase Proteins R-HSA-8850843
EPDR1,,,,,,
EPG5,,,,,,
EPHA1,,,,,Axon guidance,"Axon Guidance R-HSA-422475;Developmental Biology R-HSA-1266738;EPH-Ephrin Signaling R-HSA-2682334;EPH-ephrin Mediated Repulsion Of Cells R-HSA-3928665;Nervous System Development R-HSA-9675108;POU5F1 (OCT4), SOX2, NANOG Activate Genes Related To Proliferation R-HSA-2892247;Transcriptional Regulation Of Pluripotent Stem Cells R-HSA-452723"
EPHA10,,,,,,Axon Guidance R-HSA-422475;Developmental Biology R-HSA-1266738;EPH-Ephrin Signaling R-HSA-2682334;EPH-ephrin Mediated Repulsion Of Cells R-HSA-3928665;Nervous System Development R-HSA-9675108
