source,subpanel,gene,subtype_hint,evidence,detection_pct_r1,detection_pct_r2,det_max,specificity_flag
shared,06_immune_myeloid,CD86,,cellxgene,0.418,0.591,0.591,
shared,06_immune_myeloid,CIITA,,cellxgene,1.157,3.553,3.553,
shared,06_immune_myeloid,CLEC10A,DC,both,0.257,1.092,1.092,
shared,06_immune_myeloid,CLEC12A,,cellxgene,0.161,0.643,0.643,
shared,06_immune_myeloid,CLEC4A,,cellxgene,0.949,1.124,1.124,
shared,06_immune_myeloid,CLEC4C,pDC,both,0.047,0.0,0.047,
shared,06_immune_myeloid,CLEC7A,,cellxgene,0.686,0.97,0.97,
shared,06_immune_myeloid,CLEC9A,DC,both,0.065,0.228,0.228,
shared,06_immune_myeloid,CPVL,,cellxgene,0.909,1.409,1.409,
shared,06_immune_myeloid,CSF1R,,both,2.021,3.73,3.73,
shared,06_immune_myeloid,CSF2RB,,cellxgene,0.365,0.478,0.478,
shared,06_immune_myeloid,CXCL16,,cellxgene,3.209,3.215,3.215,
shared,06_immune_myeloid,FCER1A,DC,both,0.029,0.063,0.063,
shared,06_immune_myeloid,FCGR1A,,both,0.216,0.41,0.41,
shared,06_immune_myeloid,FCGR2A,,cellxgene,3.357,3.777,3.777,
shared,06_immune_myeloid,FCGR2B,,cellxgene,0.251,0.606,0.606,
shared,06_immune_myeloid,FCN1,monocyte,both,0.158,0.296,0.296,
shared,06_immune_myeloid,FLT3,DC,both,0.744,0.665,0.744,
shared,06_immune_myeloid,FOLR2,,cellxgene,0.685,0.585,0.685,
shared,06_immune_myeloid,FPR1,,cellxgene,0.751,0.982,0.982,
shared,06_immune_myeloid,GRN,,cellxgene,12.503,14.058,14.058,
shared,06_immune_myeloid,IL17RA,,cellxgene,3.551,4.276,4.276,
shared,06_immune_myeloid,IL1B,,cellxgene,0.2,0.231,0.231,
shared,06_immune_myeloid,IL3RA,pDC,both,0.876,1.149,1.149,
shared,06_immune_myeloid,IQGAP1,,cellxgene,14.685,16.393,16.393,
shared,06_immune_myeloid,IRF7,pDC,both,0.991,0.876,0.991,
shared,06_immune_myeloid,IRF8,DC,both,0.3,0.713,0.713,
shared,06_immune_myeloid,ITGAM,,both,1.411,1.928,1.928,
shared,06_immune_myeloid,ITGAX,,both,0.917,2.122,2.122,
shared,06_immune_myeloid,LGALS9,,cellxgene,3.025,3.749,3.749,
shared,06_immune_myeloid,LILRA4,pDC,both,0.059,0.067,0.067,
shared,06_immune_myeloid,LILRB1,,cellxgene,0.775,1.517,1.517,
shared,06_immune_myeloid,LILRB3,,cellxgene,0.233,0.607,0.607,
shared,06_immune_myeloid,LILRB4,,cellxgene,0.409,0.297,0.409,
shared,06_immune_myeloid,MAN2B1,,cellxgene,15.713,16.668,16.668,
shared,06_immune_myeloid,MARCO,macrophage,both,0.733,0.485,0.733,
shared,06_immune_myeloid,MERTK,macrophage,both,2.169,2.689,2.689,
shared,06_immune_myeloid,MRC1,macrophage,both,3.876,4.012,4.012,
shared,06_immune_myeloid,MSR1,macrophage,both,4.006,4.786,4.786,
shared,06_immune_myeloid,MYD88,,cellxgene,4.212,3.931,4.212,
shared,06_immune_myeloid,NAAA,,cellxgene,2.612,2.901,2.901,
shared,06_immune_myeloid,NCF2,,cellxgene,1.758,2.19,2.19,
shared,06_immune_myeloid,NR4A3,,cellxgene,2.019,0.455,2.019,
shared,06_immune_myeloid,PLA2G7,,cellxgene,0.202,0.25,0.25,
shared,06_immune_myeloid,PLEKHO1,,cellxgene,1.996,3.188,3.188,
shared,06_immune_myeloid,PLP2,,cellxgene,23.502,23.027,23.502,
shared,06_immune_myeloid,PLSCR1,,cellxgene,10.849,9.476,10.849,
shared,06_immune_myeloid,PNPLA6,,cellxgene,5.31,6.192,6.192,
