gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,det_max,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,pathway_source,pathway_term,was_uncategorized
IL18,,,no,ENSG00000150782,Interleukin-18 (IL-18) (Iboctadekin) (Interferon gamma-inducing factor) (IFN-gamma-inducing factor) (Interleukin-1 gamma) (IL-1 gamma),Cytoplasm,kidney collecting duct intercalated cell;renal intercalated cell;renal beta-intercalated cell;renal alpha-intercalated cell;corneal epithelial cell;conjunctival epithelial cell,IL1,1.559,1.307,1.559,7233,3158,-0.254,HALLMARK,Apoptosis,True
IL1A,,,no,ENSG00000115008,Interleukin-1 alpha (IL-1 alpha) (Hematopoietin-1),Nucleus,,IL1,0.074,0.112,0.112,343,271,0.601,HALLMARK,Apoptosis,True
IL1B,,,no,ENSG00000125538,Interleukin-1 beta (IL-1 beta) (Catabolin),Cytoplasm,"brush cell of bronchus;elicited macrophage;inflammatory macrophage;alternatively activated macrophage;colon macrophage;mononuclear phagocyte;CD14-positive, CD16-negative classical monocyte;dendritic cell;conventional dendritic cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;myeloid leukocyte;monocyte;CD14-positive monocyte;intermediate monocyte;myeloid cell;hematopoietic multipotent progenitor cell",IL1,0.144,0.243,0.243,669,588,0.755,HALLMARK,Apoptosis,False
IL6,,,no,ENSG00000136244,Interleukin-6 (IL-6) (B-cell stimulatory factor 2) (BSF-2) (CTL differentiation factor) (CDF) (Hybridoma growth factor) (Interferon beta-2) (IFN-beta-2),Secreted,squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;prostate gland microvascular endothelial cell;endothelial cell;endothelial cell of vascular tree;vascular associated smooth muscle cell;smooth muscle cell of prostate;myeloid cell;fibroblast of mammary gland;fibroblast of connective tissue of nonglandular part of prostate;fibroblast of connective tissue of glandular part of prostate;fibroblast of breast;mural cell,IL6,0.115,0.168,0.168,535,406,0.543,HALLMARK,Apoptosis,False
IRF1,,,no,ENSG00000125347,Interferon regulatory factor 1 (IRF-1),Nucleus,"vasa recta ascending limb cell;epithelial cell of thymus;cortical thymic epithelial cell;medullary thymic epithelial cell;gut endothelial cell;surface ectodermal cell;IgG-negative class switched memory B cell;mature alpha-beta T cell;mucosal invariant T cell;CD16-negative, CD56-bright natural killer cell, human;group 2 innate lymphoid cell, human",,8.914,10.206,10.206,41368,24666,0.195,HALLMARK,Apoptosis,False
LEF1,,,no,ENSG00000138795,Lymphoid enhancer-binding factor 1 (LEF-1) (T cell-specific transcription factor 1-alpha) (TCF1-alpha),Nucleus,"T cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;memory regulatory T cell;naive thymus-derived CD4-positive, alpha-beta T cell;naive thymus-derived CD8-positive, alpha-beta T cell;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;naive T cell;intraepithelial lymphocyte;immature T cell;thymocyte;double negative thymocyte;late pro-B cell;neuron",,14.048,12.949,14.048,65194,31296,-0.117,HALLMARK,Apoptosis,False
MGMT,,,no,ENSG00000170430,Methylated-DNA--protein-cysteine methyltransferase,Nucleus,epithelial cell of thymus;cortical thymic epithelial cell,,5.531,3.537,5.531,25668,8548,-0.645,HALLMARK,Apoptosis,False
NEDD9,,,no,ENSG00000111859,Enhancer of filamentation 1 (hEF1) (CRK-associated substrate-related protein) (CAS-L) (CasL) (Cas scaffolding protein family member 2) (CASS2) (Neural precursor cell expressed developmentally down-regulated protein 9) (NEDD-9) (Renal carcinoma antigen NY-REN-12) (p105),Cytoplasm,epithelial cell of lung;type I pneumocyte;epithelial cell of uterus;parietal epithelial cell,,2.214,1.63,2.214,10276,3939,-0.442,HALLMARK,Apoptosis,True
NEFH,,,no,ENSG00000100285,Neurofilament heavy polypeptide (NF-H) (200 kDa neurofilament protein) (Neurofilament triplet H protein),Cytoplasm,granulosa cell;epithelial cell of prostate;luminal cell of prostate epithelium,,0.24,0.242,0.242,1116,584,0.007,HALLMARK,Apoptosis,True
PAK1,,,no,ENSG00000149269,Serine/threonine-protein kinase PAK 1,Cytoplasm,Langerhans cell;promonocyte,,6.221,4.674,6.221,28872,11297,-0.412,HALLMARK,Apoptosis,False
